split,true_cat,test_idx,test_x1,test_x2,logp_cat1,logp_cat2,pred_cat,correct,model,training_type
1,2,32,-0.404,0.501,-2.042932893588505,-2.7333831549610084,1,false,trad,uniform
1,2,33,2.065,0.464,-7.183170348660758,-3.511952051608217,2,true,trad,uniform
1,2,34,0.095,-0.301,-0.9146375443582165,-2.4538189742609546,1,false,trad,uniform
1,2,35,0.949,0.504,-3.3143257455964945,-2.097404375306689,2,true,trad,uniform
1,2,36,0.656,-0.124,-1.6654840872776655,-1.5491076734293685,2,true,trad,uniform
1,2,37,0.273,0.626,-2.4298446629619894,-2.1703040081487974,2,true,trad,uniform
1,2,38,0.064,-0.349,-0.8977063316689243,-2.588703842777019,1,false,trad,uniform
1,2,39,-0.421,-0.509,-1.0380588585834825,-3.3418642404620305,1,false,trad,uniform
1,2,40,0.37,0.319,-1.8023359419671379,-1.6616785407107495,2,true,trad,uniform
1,2,41,1.606,0.33,-5.179071552917139,-3.061477810126355,2,true,trad,uniform
1,2,42,2.001,0.406,-6.875943987741436,-3.4643015782625524,2,true,trad,uniform
1,2,43,1.78,0.681,-6.526346634555471,-3.176517081738556,2,true,trad,uniform
1,2,44,3.365,1.381,-9.595892311364826,-5.253373725853059,2,true,trad,uniform
1,2,45,2.853,0.897,-8.961384624600777,-4.409306049156918,2,true,trad,uniform
1,2,46,-0.042,1.778,-6.637857520294856,-2.761217895521272,2,true,trad,uniform
1,2,47,0.134,1.079,-3.8346245299113138,-2.516607714961977,2,true,trad,uniform
1,2,48,0.149,2.998,-8.978348390020974,-3.7236767893776497,2,true,trad,uniform
1,2,49,-0.002,2.884,-8.85246553926571,-3.6193489037272037,2,true,trad,uniform
1,2,50,-0.081,1.325,-4.768923479932809,-2.618820747861509,2,true,trad,uniform
2,1,1,0.04,-1.569,-2.3512090991329258,-5.0427344653637505,1,true,trad,uniform
2,1,2,-0.734,-1.888,-4.544700322818826,-6.292588034363674,1,true,trad,uniform
2,1,3,-0.222,-1.145,-1.5971958649249536,-4.344293948921587,1,true,trad,uniform
2,1,4,-0.801,-1.28,-3.107881230235001,-5.2158486917070706,1,true,trad,uniform
2,1,5,-0.642,-1.219,-2.5304849673181042,-4.928203825522703,1,true,trad,uniform
2,1,6,-0.39,-0.765,-1.58445483992852,-3.9472093226653215,1,true,trad,uniform
2,1,7,-0.201,-0.855,-1.330595801436712,-3.797367967237442,1,true,trad,uniform
2,1,8,-0.525,0.266,-1.0240083068702566,-3.567540260652115,1,true,trad,uniform
2,1,9,-1.252,0.125,-2.811320572561873,-4.133941377741364,1,true,trad,uniform
2,1,10,-0.534,0.468,-1.0036842548432028,-3.5035590869490125,1,true,trad,uniform
2,1,11,0.287,-0.061,-1.6947145497083593,-2.453753415581576,1,true,trad,uniform
2,1,12,0.22,-0.334,-1.3830544400597133,-2.4506699264988683,1,true,trad,uniform
2,1,13,-0.329,0.012,-1.2065916101414922,-3.4030519974250866,1,true,trad,uniform
2,1,14,0.299,-1.234,-1.695449019852984,-3.9282423450962582,1,true,trad,uniform
2,1,15,1.217,-0.08,-3.9858612034050993,-2.5352676045687232,2,false,trad,uniform
2,1,16,-0.676,-0.003,-1.4601285718485122,-3.8307678184205325,1,true,trad,uniform
2,1,17,-0.98,-0.325,-2.70937143588065,-4.352023864234546,1,true,trad,uniform
2,1,18,-0.184,0.81,-1.5544104437239743,-3.0410506463155578,1,true,trad,uniform
2,1,19,-0.946,-0.304,-2.5693692598521403,-4.295869718023225,1,true,trad,uniform
2,1,20,-0.263,-0.101,-1.3045809371746149,-3.332213248539547,1,true,trad,uniform
2,1,21,0.326,-0.201,-1.6048266447368071,-2.302288351041417,1,true,trad,uniform
2,1,22,-0.063,-0.356,-1.3052894890035378,-3.0423746166743144,1,true,trad,uniform
2,1,23,0.499,-0.091,-1.996845144598669,-2.1903632581769985,1,true,trad,uniform
2,1,24,0.319,-0.75,-1.2764728120993183,-2.6404025494940235,1,true,trad,uniform
2,1,25,0.886,-0.107,-2.8717234014630404,-2.19149992901162,2,false,trad,uniform
2,1,26,0.716,0.274,-3.1002984945056977,-2.4264281569788717,2,false,trad,uniform
2,1,27,0.255,-0.228,-1.5029157230295778,-2.4080747028419056,1,true,trad,uniform
2,1,28,0.333,0.611,-2.442545532053647,-2.6538456210760675,1,true,trad,uniform
2,1,29,0.417,0.235,-2.2430356785889005,-2.528674089437718,1,true,trad,uniform
2,1,30,-0.005,0.431,-1.3915367937586205,-2.9542628599417213,1,true,trad,uniform
2,1,31,-0.304,-1.039,-1.585369158310901,-4.244589027618925,1,true,trad,uniform
2,1,32,-0.461,-1.103,-1.9375293382056367,-4.5345113526926735,1,true,trad,uniform
2,1,33,-0.184,-1.475,-2.200255214853483,-5.000483474039897,1,true,trad,uniform
2,1,34,0.158,-0.834,-1.1873689066859465,-3.1023580782778732,1,true,trad,uniform
2,1,35,0.13,-0.774,-1.1651639695702625,-3.042724184866967,1,true,trad,uniform
2,1,36,-0.283,-0.784,-1.4149950668323492,-3.8202751610001737,1,true,trad,uniform
2,1,37,-0.825,-0.434,-2.441643571375969,-4.228870487160368,1,true,trad,uniform
2,1,38,-0.042,-0.239,-1.3423666167195492,-2.97727262289475,1,true,trad,uniform
2,1,39,-0.5,-0.194,-1.5262726449312793,-3.6886795868793696,1,true,trad,uniform
2,1,40,-0.061,-0.197,-1.3480109653577852,-3.0102194959365596,1,true,trad,uniform
2,1,41,0.539,-0.485,-1.6505438989261538,-2.020596027305288,1,true,trad,uniform
2,1,42,0.655,-0.547,-1.8467292519249816,-2.0236876280998874,1,true,trad,uniform
2,1,43,-0.666,0.115,-1.2859248542479484,-3.7720906509183334,1,true,trad,uniform
2,1,44,0.699,-0.078,-2.431700542519916,-2.134404260811286,2,false,trad,uniform
2,1,45,1.424,-1.028,-4.641939423026056,-3.803807527601102,2,false,trad,uniform
2,1,46,0.086,0.221,-1.5121935749705435,-2.849239048533935,1,true,trad,uniform
2,1,47,-0.803,0.039,-1.6106812969150712,-3.9431302680452474,1,true,trad,uniform
2,1,48,-0.417,-0.489,-1.6115099079188882,-3.724214337411872,1,true,trad,uniform
2,1,49,-0.176,0.386,-1.1133369644863949,-3.1452706260365,1,true,trad,uniform
2,1,50,0.052,0.785,-1.9360818925766012,-2.83402472380855,1,true,trad,uniform
2,2,1,0.692,0.533,-3.525158154293539,-2.4861099920867358,2,true,trad,uniform
2,2,2,-0.671,2.434,-8.271541978445963,-3.8199545707990663,2,true,trad,uniform
2,2,3,0.551,1.882,-7.232692982762706,-2.518625050829276,2,true,trad,uniform
2,2,4,0.18,2.09,-7.3890607508729165,-2.671886650745308,2,true,trad,uniform
2,2,5,-0.508,2.178,-7.394632098366226,-3.33305547331106,2,true,trad,uniform
2,2,6,-0.116,-0.077,-1.3201458177035392,-3.102320949372699,1,false,trad,uniform
2,2,7,-1.271,-0.417,-3.900679525997374,-4.769771898880209,1,false,trad,uniform
2,2,8,0.19,0.45,-1.846872708857505,-2.766633575652491,1,false,trad,uniform
2,2,9,-0.305,1.334,-3.1304988195867427,-2.9699735925134947,2,true,trad,uniform
2,2,10,-0.637,0.536,-1.11704916972591,-3.566438014779047,1,false,trad,uniform
2,2,11,0.92,0.11,-3.35789043184719,-2.3654144595601405,2,true,trad,uniform
2,2,12,0.515,0.022,-2.1841227448053067,-2.2913039449907,1,false,trad,uniform
2,2,13,0.166,0.504,-1.831183293266424,-2.7859876624873294,1,false,trad,uniform
2,2,14,-0.602,-0.203,-1.666002834374184,-3.8235594885284354,1,false,trad,uniform
2,2,15,0.086,-0.001,-1.4776627221416794,-2.789533692076944,1,false,trad,uniform
2,2,16,1.767,1.196,-7.870924308761047,-2.5482562566699247,2,true,trad,uniform
2,2,17,-0.235,2.323,-7.911882087043709,-3.1377072498393273,2,true,trad,uniform
2,2,18,-0.042,1.778,-5.6288685894423125,-2.676099331926832,2,true,trad,uniform
2,2,19,0.769,2.261,-8.263385511129176,-2.8213662386165494,2,true,trad,uniform
2,2,20,0.398,2.212,-7.942577471386746,-2.722772141619037,2,true,trad,uniform
2,2,21,-0.658,0.538,-1.1409486217045925,-3.5814099590497883,1,false,trad,uniform
2,2,22,-0.413,0.953,-1.7294080963197338,-3.210321713199142,1,false,trad,uniform
2,2,23,0.23,0.562,-2.0652673112700075,-2.7308730776092625,1,false,trad,uniform
2,2,24,0.585,0.726,-3.5308739064262453,-2.511391477197961,2,true,trad,uniform
2,2,25,0.092,1.389,-3.980868605456778,-2.623466765836039,2,true,trad,uniform
2,2,26,3.934,1.73,-10.16181838313017,-5.600316358461837,2,true,trad,uniform
2,2,27,4.244,-0.356,-10.130040351821464,-6.702260745668905,2,true,trad,uniform
2,2,28,3.882,1.206,-9.96905300635118,-5.276033052696887,2,true,trad,uniform
2,2,29,3.116,0.991,-9.24701946366805,-3.8674303506163152,2,true,trad,uniform
2,2,30,3.72,0.709,-9.728776695849332,-4.949128040485965,2,true,trad,uniform
2,2,31,0.166,-0.267,-1.4007771252517158,-2.5631109033953514,1,false,trad,uniform
2,2,32,-0.285,-0.028,-1.2460233216598204,-3.350901226199537,1,false,trad,uniform
2,2,33,0.032,0.411,-1.4558654920229914,-2.917515864934133,1,false,trad,uniform
2,2,34,-1.261,0.489,-2.6767300524217057,-3.723175717521261,1,false,trad,uniform
2,2,35,-0.238,-0.057,-1.2738103816157658,-3.2886030906964394,1,false,trad,uniform
2,2,36,-0.475,-0.379,-1.662734824446292,-3.7375634847409156,1,false,trad,uniform
2,2,37,0.689,-1.308,-2.516931561784688,-3.9507002970048513,1,false,trad,uniform
2,2,38,1.29,-0.346,-3.95781265453393,-2.6896586216250222,2,true,trad,uniform
2,2,39,0.92,-0.192,-2.8484464046712548,-2.1672130883347505,2,true,trad,uniform
2,2,40,1.891,0.188,-6.862443889546442,-2.8390983222746757,2,true,trad,uniform
2,2,41,1.248,2.295,-8.561178450871148,-3.023043494896004,2,true,trad,uniform
2,2,42,0.946,-0.265,-2.8355914007390073,-2.1649469577882323,2,true,trad,uniform
2,2,43,0.095,-0.301,-1.3427295317822403,-2.7054105453858037,1,false,trad,uniform
2,2,44,1.419,1.031,-7.010086463948941,-2.415009744275596,2,true,trad,uniform
2,2,45,-0.268,-0.011,-1.2330959522153175,-3.3231932627214222,1,false,trad,uniform
2,2,46,-1.084,-0.65,-3.519906243532523,-4.762177700277051,1,false,trad,uniform
2,2,47,-1.402,0.179,-3.379485550018082,-4.078929896510319,1,false,trad,uniform
2,2,48,-1.638,0.639,-4.530343816703119,-3.4661421595301745,2,true,trad,uniform
2,2,49,-0.394,1.627,-4.5135109977789005,-3.006460623434506,2,true,trad,uniform
2,2,50,-0.786,1.877,-6.09660449462904,-3.5309590498968126,2,true,trad,uniform
3,1,1,0.243,-0.382,-0.9190581620850996,-2.541945319329104,1,true,trad,uniform
3,1,2,0.64,-0.205,-1.4393075346484223,-2.7298328335124413,1,true,trad,uniform
3,1,3,-0.803,0.039,-2.741879106867439,-2.6333638136667545,2,false,trad,uniform
3,1,4,-0.188,0.863,-3.0452500916226866,-2.2864299948600766,2,false,trad,uniform
3,1,5,0.07,-1.207,-1.3636416485176528,-4.012008717411035,1,true,trad,uniform
3,1,6,-0.823,0.314,-3.2522831119583575,-2.5484478458318627,2,false,trad,uniform
3,1,7,-0.744,0.242,-2.8976364904991954,-2.484305390195755,2,false,trad,uniform
3,1,8,-0.501,0.111,-2.0805257657941096,-2.298156073430374,1,true,trad,uniform
3,1,9,-0.161,0.007,-1.3919621843585035,-2.169049342040785,1,true,trad,uniform
3,1,10,-0.119,-0.105,-1.2188644464691183,-2.218652629374361,1,true,trad,uniform
3,1,11,-0.946,-0.304,-2.7885992229119214,-3.1126756088968754,1,true,trad,uniform
3,1,12,-0.936,-0.219,-2.8373493506800727,-3.009777249149484,1,true,trad,uniform
3,1,13,-0.84,-0.524,-2.3165592921806075,-3.2405946667127212,1,true,trad,uniform
3,1,14,0.049,-0.041,-1.1891334418202004,-2.1945830706464466,1,true,trad,uniform
3,1,15,-0.471,0.233,-2.211082420922414,-2.2488478907571294,1,true,trad,uniform
3,1,16,-0.39,-0.765,-1.2585207614632157,-3.1601757909383332,1,true,trad,uniform
3,1,17,-0.532,-0.737,-1.514589870308225,-3.2248547204330187,1,true,trad,uniform
3,1,18,0.036,-0.964,-1.0173994521366871,-3.443005230509359,1,true,trad,uniform
3,1,19,-0.565,-0.03,-2.019652786803221,-2.41512909464818,1,true,trad,uniform
3,1,20,-0.201,-0.855,-1.0590676359467828,-3.240950088404462,1,true,trad,uniform
3,1,21,-0.254,-0.184,-1.2793653344193823,-2.3072931648537063,1,true,trad,uniform
3,1,22,0.706,-0.371,-1.4795087209437217,-2.9486278420858696,1,true,trad,uniform
3,1,23,0.19,-0.862,-0.941745170344346,-3.2679390238807047,1,true,trad,uniform
3,1,24,0.299,-1.234,-1.496609614203571,-4.1325205387548,1,true,trad,uniform
3,1,25,-0.213,-0.101,-1.3183476017299518,-2.2361462877949343,1,true,trad,uniform
3,1,26,-0.436,-0.596,-1.3118223008123295,-2.900887854851909,1,true,trad,uniform
3,1,27,-0.887,0.076,-3.0568415987347173,-2.7180749136298163,2,false,trad,uniform
3,1,28,-0.255,-0.212,-1.2525178899343385,-2.32982188178934,1,true,trad,uniform
3,1,29,-0.502,-1.315,-2.1506175154350076,-4.4930445978204405,1,true,trad,uniform
3,1,30,-0.061,-0.197,-1.081309644654898,-2.2783857031394854,1,true,trad,uniform
3,1,31,-0.437,1.075,-4.038906321061798,-2.383940729856353,2,false,trad,uniform
3,1,32,-1.038,1.497,-6.6429332059002375,-2.7792457650932283,2,false,trad,uniform
3,1,33,0.076,1.619,-5.2912270986056065,-2.7394907464120872,2,false,trad,uniform
3,1,34,-0.629,0.768,-3.653785108421667,-2.377806454145152,2,false,trad,uniform
3,1,35,-0.538,1.128,-4.403111589533225,-2.4238195165226393,2,false,trad,uniform
3,1,36,-0.642,-1.219,-2.264942388383912,-4.377056506142906,1,true,trad,uniform
3,1,37,-0.471,-1.518,-2.586118565616352,-5.002164013341501,1,true,trad,uniform
3,1,38,-0.222,-1.145,-1.411817994055153,-3.898077276736415,1,true,trad,uniform
3,1,39,-0.524,-0.593,-1.4840439651087558,-2.9712755551315895,1,true,trad,uniform
3,1,40,-0.891,-1.88,-4.773975069854752,-6.33266285130768,1,true,trad,uniform
3,1,41,-0.281,0.436,-2.228767599640139,-2.1624357029102477,2,false,trad,uniform
3,1,42,0.058,0.794,-2.637329894094633,-2.3029806107638024,2,false,trad,uniform
3,1,43,-0.942,0.291,-3.590147516581412,-2.6921667010156822,2,false,trad,uniform
3,1,44,0.06,0.305,-1.6556450836613592,-2.141274757033008,1,true,trad,uniform
3,1,45,-0.026,0.102,-1.4033476250830266,-2.134289795426789,1,true,trad,uniform
3,1,46,-0.522,-0.253,-1.6661861959358613,-2.5426325216263006,1,true,trad,uniform
3,1,47,-0.531,-0.057,-1.9079398897088544,-2.399824922812448,1,true,trad,uniform
3,1,48,-0.211,0.471,-2.1932138009440356,-2.1541982376213498,2,false,trad,uniform
3,1,49,-0.918,0.432,-3.769134950464225,-2.624564618146348,2,false,trad,uniform
3,1,50,-1.175,-0.306,-3.6283873811887917,-3.479506520166919,2,false,trad,uniform
3,2,1,0.655,1.01,-3.4127139122174333,-2.811203999625942,2,true,trad,uniform
3,2,2,0.515,0.022,-1.4470709208731771,-2.4743240782036655,1,false,trad,uniform
3,2,3,0.315,0.454,-1.8867101522103473,-2.3005564399010696,1,false,trad,uniform
3,2,4,0.232,0.948,-2.987953136930519,-2.461023439140889,2,true,trad,uniform
3,2,5,-0.256,0.66,-2.6507023369812175,-2.214430146249927,2,true,trad,uniform
3,2,6,-2.054,1.248,-8.22836208512415,-3.9736720617692898,2,true,trad,uniform
3,2,7,-1.025,0.283,-3.8554455148253655,-2.798178282811686,2,true,trad,uniform
3,2,8,-0.74,0.723,-3.841580474777634,-2.4437482381932125,2,true,trad,uniform
3,2,9,-0.649,2.324,-8.080263370191977,-3.2675723535465746,2,true,trad,uniform
3,2,10,-0.786,1.877,-7.179900685151333,-2.863930197364991,2,true,trad,uniform
3,2,11,1.657,1.965,-8.092610076952766,-3.8896029133204757,2,true,trad,uniform
3,2,12,0.932,1.898,-6.791735088251845,-3.5544904929557726,2,true,trad,uniform
3,2,13,1.715,1.924,-8.10462775004013,-3.8544244853818173,2,true,trad,uniform
3,2,14,2.195,2.137,-8.970938471248354,-4.038257894218347,2,true,trad,uniform
3,2,15,1.622,2.007,-8.122387343071598,-3.9263955027106316,2,true,trad,uniform
3,2,16,-2.088,2.041,-8.882285261878769,-4.383716569025185,2,true,trad,uniform
3,2,17,-0.211,1.443,-4.878445695220353,-2.540577326821336,2,true,trad,uniform
3,2,18,-0.02,-0.015,-1.250653856660958,-2.1718585138703936,1,false,trad,uniform
3,2,19,-0.301,1.868,-6.505408717627205,-2.797684077766457,2,true,trad,uniform
3,2,20,-1.022,1.397,-6.344387266329108,-2.7334582089808803,2,true,trad,uniform
3,2,21,1.326,3.636,-9.800984622553809,-6.25478138232655,2,true,trad,uniform
3,2,22,0.067,2.164,-7.272028600377363,-3.1922908360232056,2,true,trad,uniform
3,2,23,-0.332,2.087,-7.249343400058406,-2.990143046830122,2,true,trad,uniform
3,2,24,-0.063,2.16,-7.303976029645371,-3.1316204812581265,2,true,trad,uniform
3,2,25,0.078,1.826,-6.077407125149939,-2.8873849424385023,2,true,trad,uniform
3,2,26,-0.658,0.538,-3.222141805297727,-2.374611025196971,2,true,trad,uniform
3,2,27,0.036,-0.068,-1.163860599533443,-2.2048548612720626,1,false,trad,uniform
3,2,28,0.768,1.68,-5.802775805975334,-3.2653519223307974,2,true,trad,uniform
3,2,29,0.013,0.693,-2.4278646647160014,-2.243814654345476,2,true,trad,uniform
3,2,30,-0.188,1.361,-4.567505389942932,-2.504322828670276,2,true,trad,uniform
3,2,31,0.263,-0.412,-0.9156921781212244,-2.587328128392961,1,false,trad,uniform
3,2,32,0.467,-0.814,-1.13831066097111,-3.3412819967781386,1,false,trad,uniform
3,2,33,-0.019,-0.257,-1.0054690912791857,-2.329846449402213,1,false,trad,uniform
3,2,34,0.945,-0.504,-2.0197512248723624,-3.3537359524390125,1,false,trad,uniform
3,2,35,1.619,0.318,-4.635469848859548,-3.266820023665789,2,true,trad,uniform
3,2,36,2.853,0.897,-8.862465206167633,-3.325080473375716,2,true,trad,uniform
3,2,37,1.78,0.681,-5.680451904412397,-3.246634086298033,2,true,trad,uniform
3,2,38,2.014,0.059,-6.076882942598924,-3.329448236625252,2,true,trad,uniform
3,2,39,0.963,0.195,-2.428324726665334,-2.931280413286269,1,false,trad,uniform
3,2,40,1.38,0.552,-4.073020134982329,-3.2034525288740396,2,true,trad,uniform
3,2,41,0.18,2.09,-7.01179796545719,-3.177144144402157,2,true,trad,uniform
3,2,42,-0.508,2.178,-7.64768101978002,-3.079868680537244,2,true,trad,uniform
3,2,43,0.692,0.533,-2.3675249492258965,-2.662292087151644,1,false,trad,uniform
3,2,44,0.842,1.062,-3.8346557467256903,-2.9922876950548214,2,true,trad,uniform
3,2,45,0.836,0.367,-2.356136319033708,-2.7870211195573864,1,false,trad,uniform
3,2,46,1.533,-1.798,-6.211085518660831,-5.389282599646244,2,true,trad,uniform
3,2,47,1.439,0.523,-4.228195699075115,-3.220324525293521,2,true,trad,uniform
3,2,48,0.871,-0.255,-1.8815187760077425,-3.03422120382046,1,false,trad,uniform
3,2,49,0.635,-0.724,-1.3552971634576831,-3.335932627028039,1,false,trad,uniform
3,2,50,-0.16,-0.048,-1.3237498162213228,-2.1933915152125687,1,false,trad,uniform
4,1,1,0.06,0.305,-1.6847710793233015,-1.8937323151899836,1,true,trad,uniform
4,1,2,-0.347,0.586,-2.0179293243926177,-2.064605327062822,1,true,trad,uniform
4,1,3,-0.026,0.102,-1.3658338691955851,-2.023274990017362,1,true,trad,uniform
4,1,4,-0.959,-0.04,-1.6049824759072404,-3.020041459036857,1,true,trad,uniform
4,1,5,-0.129,0.6,-2.087478116761399,-1.9193969419006556,2,false,trad,uniform
4,1,6,1.506,0.339,-5.134430706304568,-2.6804546404171137,2,false,trad,uniform
4,1,7,1.137,-0.213,-3.4268254930094484,-2.620992119844906,2,false,trad,uniform
4,1,8,0.629,-0.166,-2.0996828531295,-2.2289565508826485,1,true,trad,uniform
4,1,9,0.981,-0.438,-2.9537913679674417,-2.735412569962376,2,false,trad,uniform
