split,true_cat,test_idx,logp_cat1,logp_cat2,pred_cat,correct,model,training_type
1,2,2,-2.8050852563173687,-2.649749552858709,2,true,trad,uniform
1,2,3,-3.3658908414125612,-4.687772035038987,1,false,trad,uniform
1,2,4,-3.059768239861995,-3.1165179021605796,1,false,trad,uniform
1,2,5,-1.622004062049947,-2.088151664544144,1,false,trad,uniform
1,2,6,-2.7215057075924314,-6.723757123588079,1,false,trad,uniform
1,2,7,-2.3195166375531566,-5.5474906494114204,1,false,trad,uniform
1,2,8,-3.029017047228342,-7.135285048600796,1,false,trad,uniform
1,2,9,-3.553546844727289,-7.457201461424522,1,false,trad,uniform
1,2,10,-2.72368209206716,-6.145075466711575,1,false,trad,uniform
1,2,11,-7.027429574172617,-3.8822375966204334,2,true,trad,uniform
1,2,12,-6.75144794120066,-3.7880681104222713,2,true,trad,uniform
1,2,13,-8.254610399149575,-3.4141327536752595,2,true,trad,uniform
1,2,14,-8.54941500648286,-3.3906425820532653,2,true,trad,uniform
1,2,15,-9.080730904244634,-3.094817258029627,2,true,trad,uniform
1,2,16,-4.354688260279907,-2.672849811140458,2,true,trad,uniform
1,2,17,-3.949058751393711,-2.7020576460910646,2,true,trad,uniform
1,2,18,-3.2790386118172563,-2.549871018050507,2,true,trad,uniform
1,2,19,-2.476351359461289,-2.0750518469716366,2,true,trad,uniform
1,2,20,-2.9345464564419164,-2.424210927504346,2,true,trad,uniform
1,2,21,-3.255811162162742,-2.644820627758617,2,true,trad,uniform
1,2,22,-2.172772054651623,-2.0148673295174238,2,true,trad,uniform
1,2,23,-2.7444521693733663,-3.3848618771072645,1,false,trad,uniform
1,2,24,-2.738007920349528,-2.639142698366529,2,true,trad,uniform
1,2,25,-2.920428172062886,-2.2894899846787675,2,true,trad,uniform
1,2,26,-2.406308519290144,-6.057637433080698,1,false,trad,uniform
1,2,27,-2.749812583317825,-3.598335416769884,1,false,trad,uniform
1,2,28,-2.7205244177265344,-3.9369233504001344,1,false,trad,uniform
1,2,29,-2.9187743678583495,-3.957446946172297,1,false,trad,uniform
1,2,30,-3.113439906896389,-4.752676956574594,1,false,trad,uniform
1,2,31,-3.442828921736073,-2.9120713964773524,2,true,trad,uniform
1,2,32,-1.9475682824338036,-2.5461290971466113,1,false,trad,uniform
1,2,33,-2.0601071373835933,-1.7887852831931947,2,true,trad,uniform
1,2,34,-2.0618184706182094,-2.5786197798965675,1,false,trad,uniform
1,2,35,-3.3797915911352687,-3.6454178842212626,1,false,trad,uniform
1,2,36,-1.8354578717398233,-1.8700772563251193,1,false,trad,uniform
1,2,37,-1.9672642970672802,-1.7374477518677551,2,true,trad,uniform
1,2,38,-1.5050000230872072,-1.6058264229105144,1,false,trad,uniform
1,2,39,-1.7543035451743365,-2.3804331906225236,1,false,trad,uniform
1,2,40,-1.4849877912081388,-1.8467294269664896,1,false,trad,uniform
1,2,41,-2.0833957759166473,-2.3866794712655346,1,false,trad,uniform
1,2,42,-2.9266369721594288,-3.8441843631513253,1,false,trad,uniform
1,2,43,-1.9415283969337678,-2.4701224783273865,1,false,trad,uniform
1,2,44,-1.559889552442959,-1.997082294825155,1,false,trad,uniform
1,2,45,-2.8640602532297073,-3.52257605320955,1,false,trad,uniform
1,2,46,-4.497068654060829,-2.449624653988117,2,true,trad,uniform
1,2,47,-4.904162270333047,-2.27958347781652,2,true,trad,uniform
1,2,48,-6.495913511949668,-2.41379698962347,2,true,trad,uniform
1,2,49,-5.3017501363321005,-2.2222919348793995,2,true,trad,uniform
1,2,50,-5.011028728873309,-2.2958971396361925,2,true,trad,uniform
2,1,1,-4.569081195082405,-5.233539832607993,1,true,trad,uniform
2,1,2,-3.8902535271191354,-4.630325270486466,1,true,trad,uniform
2,1,3,-5.340113877972937,-6.022664251871977,1,true,trad,uniform
2,1,4,-3.9144352979643013,-5.31955558284074,1,true,trad,uniform
2,1,5,-4.083463497182365,-5.495375813729151,1,true,trad,uniform
2,1,6,-2.595346686475954,-4.1149542952818665,1,true,trad,uniform
2,1,7,-3.0093787905819758,-4.233013598047561,1,true,trad,uniform
2,1,8,-3.599382661742813,-5.086965546623064,1,true,trad,uniform
2,1,9,-2.8622022606682487,-2.4996656281474112,2,false,trad,uniform
2,1,10,-2.9921670368918427,-3.9179447925240467,1,true,trad,uniform
2,1,11,-4.360372668758077,-4.865274597714042,1,true,trad,uniform
2,1,12,-5.475799970752586,-6.08472988053739,1,true,trad,uniform
2,1,13,-3.8110879682519365,-5.2317882965486415,1,true,trad,uniform
2,1,14,-4.553516440430643,-5.745974842200507,1,true,trad,uniform
2,1,15,-4.241467921693549,-5.521550556286719,1,true,trad,uniform
2,1,16,-1.9227946035220946,-1.7740968736561975,2,false,trad,uniform
2,1,17,-2.1118644489912852,-1.4774042387848176,2,false,trad,uniform
2,1,18,-1.9744582387663219,-1.4509363138656877,2,false,trad,uniform
2,1,19,-1.8503235631526678,-2.409754036945586,1,true,trad,uniform
2,1,20,-1.948343058718329,-1.3599364459690237,2,false,trad,uniform
2,1,21,-1.392432105035755,-2.370150770909668,1,true,trad,uniform
2,1,22,-1.4929008920320355,-3.4047389238167325,1,true,trad,uniform
2,1,23,-1.4778065887395022,-1.7831308495467977,1,true,trad,uniform
2,1,24,-1.7767931216677524,-3.588282528248247,1,true,trad,uniform
2,1,25,-1.3518913959582843,-2.209723031736969,1,true,trad,uniform
2,1,26,-2.3921651707354767,-1.4958766145767088,2,false,trad,uniform
2,1,27,-1.4281341146206494,-2.160982203672649,1,true,trad,uniform
2,1,28,-1.677906166522353,-1.5912294794401645,2,false,trad,uniform
2,1,29,-1.5613238569385388,-1.744719316813925,1,true,trad,uniform
2,1,30,-1.326528556914709,-2.4704046491059106,1,true,trad,uniform
2,1,31,-6.586207851169104,-6.6278824007569135,1,true,trad,uniform
2,1,32,-3.0827256209528278,-4.018336696304619,1,true,trad,uniform
2,1,33,-3.3757693442107386,-4.67969542704055,1,true,trad,uniform
2,1,34,-4.992732426357678,-5.609832128604099,1,true,trad,uniform
2,1,35,-5.908998860760604,-6.337375357700111,1,true,trad,uniform
2,1,36,-2.787998065100924,-2.347222375543139,2,false,trad,uniform
2,1,37,-2.945797141619904,-3.2496726081209006,1,true,trad,uniform
2,1,38,-2.636791443364528,-1.9400193013685798,2,false,trad,uniform
2,1,39,-4.386328233372237,-4.132947939606747,2,false,trad,uniform
2,1,40,-2.816333294816403,-2.1951801101830113,2,false,trad,uniform
2,1,41,-2.5083359819517907,-1.4229737896708867,2,false,trad,uniform
2,1,42,-3.373118166232204,-2.23196281374391,2,false,trad,uniform
2,1,43,-4.413865795614622,-2.1282560600766183,2,false,trad,uniform
2,1,44,-1.9605980064841322,-1.795429662631394,2,false,trad,uniform
2,1,45,-3.728110074595896,-2.3321997676282336,2,false,trad,uniform
2,1,46,-3.0735097114722856,-7.121873557203604,1,true,trad,uniform
2,1,47,-4.270245427096589,-8.181317230821511,1,true,trad,uniform
2,1,48,-3.0704221643908283,-6.552644259960821,1,true,trad,uniform
2,1,49,-3.048156792702039,-7.068673643805719,1,true,trad,uniform
2,1,50,-3.593158135457456,-6.805210315494405,1,true,trad,uniform
2,2,1,-1.9914171996032315,-1.561551951921699,2,true,trad,uniform
2,2,2,-6.504206520992917,-3.246502221575811,2,true,trad,uniform
2,2,3,-2.2594836130410085,-2.7395089274724738,1,false,trad,uniform
2,2,4,-1.8434945857499467,-3.094402264478896,1,false,trad,uniform
2,2,5,-1.9207520281124744,-1.4496395586531046,2,true,trad,uniform
2,2,6,-5.855255917409196,-2.902411937097735,2,true,trad,uniform
2,2,7,-5.492852920599893,-2.8557139479127884,2,true,trad,uniform
2,2,8,-5.816319871658879,-2.8621245465299165,2,true,trad,uniform
2,2,9,-5.568168539488932,-3.2624888262422878,2,true,trad,uniform
2,2,10,-5.33255715753336,-2.7777444670778637,2,true,trad,uniform
2,2,11,-2.000376217160499,-1.3648849459591315,2,true,trad,uniform
2,2,12,-1.79124963114152,-1.4833686216025215,2,true,trad,uniform
2,2,13,-2.3373901207059737,-1.5479594998922923,2,true,trad,uniform
2,2,14,-2.0157529530042337,-1.5684634585124224,2,true,trad,uniform
2,2,15,-2.5308515394656586,-1.943092859737543,2,true,trad,uniform
2,2,16,-1.3333508167886698,-2.2558869787457443,1,false,trad,uniform
2,2,17,-1.923155330769256,-1.9403798452523349,1,false,trad,uniform
2,2,18,-2.095329117461122,-4.106303208053784,1,false,trad,uniform
2,2,19,-1.9214158089680358,-3.741028655172511,1,false,trad,uniform
2,2,20,-1.6071536519138607,-1.5975373416679493,2,true,trad,uniform
2,2,21,-2.0345612053269675,-3.4120774362315713,1,false,trad,uniform
2,2,22,-2.208967339310331,-3.5438918020608887,1,false,trad,uniform
2,2,23,-2.542172608739741,-4.126222528998264,1,false,trad,uniform
2,2,24,-2.046861870943172,-3.426765897134536,1,false,trad,uniform
2,2,25,-3.9728745486794605,-4.92411979788205,1,false,trad,uniform
2,2,26,-4.198958364303299,-3.022641003017247,2,true,trad,uniform
2,2,27,-4.241836136232887,-3.5841910346428523,2,true,trad,uniform
2,2,28,-4.478985630438199,-2.149905820003018,2,true,trad,uniform
2,2,29,-4.747456301712451,-2.6902499530027697,2,true,trad,uniform
2,2,30,-5.5157186983106055,-2.6699358979746672,2,true,trad,uniform
2,2,31,-2.3567294616925443,-3.5857183645021693,1,false,trad,uniform
2,2,32,-8.91367268562801,-4.036099718435785,2,true,trad,uniform
2,2,33,-3.5387641797950833,-4.379723170801235,1,false,trad,uniform
2,2,34,-4.0934310742640125,-3.918625757647864,2,true,trad,uniform
2,2,35,-4.399316526033171,-3.936569915900636,2,true,trad,uniform
2,2,36,-9.109506298160763,-4.095975419307231,2,true,trad,uniform
2,2,37,-7.894271799424531,-4.053106263631628,2,true,trad,uniform
2,2,38,-6.440823579968759,-3.928292725460251,2,true,trad,uniform
2,2,39,-8.338768726529825,-4.056835778703577,2,true,trad,uniform
2,2,40,-8.93733707653498,-4.052348554013321,2,true,trad,uniform
2,2,41,-2.7495491495874345,-5.045378226473008,1,false,trad,uniform
2,2,42,-3.7379469169482427,-7.644869490637342,1,false,trad,uniform
2,2,43,-2.993516950871766,-6.466824937909227,1,false,trad,uniform
2,2,44,-2.9693112634134757,-5.474198959718848,1,false,trad,uniform
2,2,45,-2.3291449923821324,-4.267157336957329,1,false,trad,uniform
2,2,46,-7.535978666579624,-4.435214076022039,2,true,trad,uniform
2,2,47,-3.6105923114718212,-5.195299302390636,1,false,trad,uniform
2,2,48,-2.753959131212683,-4.542894820197289,1,false,trad,uniform
2,2,49,-6.609332105236863,-4.989768578891859,2,true,trad,uniform
2,2,50,-3.0982744709789447,-4.738744388475706,1,false,trad,uniform
3,1,1,-3.4744918131898155,-3.5832041524269598,1,true,trad,uniform
3,1,2,-3.9546332994219564,-3.805875347499928,2,false,trad,uniform
3,1,3,-4.582941587308216,-5.251479182480913,1,true,trad,uniform
3,1,4,-4.67257283018276,-5.37417505825376,1,true,trad,uniform
3,1,5,-4.668420654588579,-5.293940156010555,1,true,trad,uniform
3,1,6,-3.977044262129722,-3.485049730112425,2,false,trad,uniform
3,1,7,-3.75324178324862,-3.3799311159313574,2,false,trad,uniform
3,1,8,-3.2356553021753727,-3.0040328179516353,2,false,trad,uniform
3,1,9,-3.188086474616935,-2.490924477151695,2,false,trad,uniform
3,1,10,-3.4469016301671043,-3.468129831473854,1,true,trad,uniform
3,1,11,-2.163564531354661,-2.190309919196018,1,true,trad,uniform
3,1,12,-2.152268675623276,-2.705906922211435,1,true,trad,uniform
3,1,13,-2.231124860164668,-2.6100195536897743,1,true,trad,uniform
3,1,14,-3.1394964691001963,-2.9399250978744518,2,false,trad,uniform
3,1,15,-2.7429518463550715,-2.450664403671049,2,false,trad,uniform
3,1,16,-3.2465949963917025,-2.8214158665676856,2,false,trad,uniform
3,1,17,-3.121388405443717,-2.7244206656482457,2,false,trad,uniform
3,1,18,-3.8304498216624996,-3.1846191197134064,2,false,trad,uniform
3,1,19,-2.4212403776546347,-2.6083897665341977,1,true,trad,uniform
3,1,20,-3.214457876804906,-2.9249827273896596,2,false,trad,uniform
3,1,21,-3.6008052885178046,-3.0558715802747414,2,false,trad,uniform
3,1,22,-1.7894488614704114,-2.45533389835932,1,true,trad,uniform
3,1,23,-3.4947859523357434,-3.0428408762335533,2,false,trad,uniform
3,1,24,-4.652236986975152,-4.063640022187897,2,false,trad,uniform
3,1,25,-3.094550253506535,-2.7033935447897814,2,false,trad,uniform
3,1,26,-1.3842345604674933,-2.730849994564026,1,true,trad,uniform
3,1,27,-1.767658460929591,-2.6318906231937853,1,true,trad,uniform
3,1,28,-1.821043893781391,-3.0686703760224665,1,true,trad,uniform
3,1,29,-2.6294740401047054,-3.4043944544717646,1,true,trad,uniform
3,1,30,-1.612593177564742,-2.7622243367491697,1,true,trad,uniform
3,1,31,-2.5354852221779516,-2.95082476850056,1,true,trad,uniform
3,1,32,-1.8249262140399387,-2.8786694150140457,1,true,trad,uniform
3,1,33,-3.3472030170730225,-2.813877678658853,2,false,trad,uniform
3,1,34,-1.7536178226803314,-2.6332955656539383,1,true,trad,uniform
3,1,35,-3.391236778542281,-2.847568037652298,2,false,trad,uniform
3,1,36,-4.6262033040324635,-3.8233597320308643,2,false,trad,uniform
3,1,37,-6.54776112318582,-4.376802644083501,2,false,trad,uniform
3,1,38,-5.882579002744397,-4.306780457333107,2,false,trad,uniform
3,1,39,-3.8695826436737772,-3.4680505895794127,2,false,trad,uniform
3,1,40,-2.382467620179516,-2.2115059661652756,2,false,trad,uniform
3,1,41,-2.129489132649456,-2.726760357899537,1,true,trad,uniform
3,1,42,-1.8869640483440544,-2.61204772247629,1,true,trad,uniform
3,1,43,-1.4634597971675376,-2.717457051312032,1,true,trad,uniform
3,1,44,-2.1829373678566357,-2.7019905497210503,1,true,trad,uniform
3,1,45,-2.3626002700656783,-3.0210061301245568,1,true,trad,uniform
3,1,46,-1.25175048693338,-3.003102647273108,1,true,trad,uniform
3,1,47,-1.282718515760599,-3.282466835095308,1,true,trad,uniform
3,1,48,-1.6005662806434564,-3.606143131132197,1,true,trad,uniform
3,1,49,-1.4716684938451485,-3.340020638414989,1,true,trad,uniform
3,1,50,-2.052369553739711,-4.150935677967991,1,true,trad,uniform
3,2,1,-2.782512337186493,-2.4972657612695444,2,true,trad,uniform
3,2,2,-2.6739341705904134,-2.571953968571294,2,true,trad,uniform
3,2,3,-4.342373736213378,-3.5789531910615944,2,true,trad,uniform
3,2,4,-5.8526280031032805,-3.9290479630375126,2,true,trad,uniform
3,2,5,-5.301540993179594,-3.981507984696235,2,true,trad,uniform
3,2,6,-2.6975254998572997,-2.6267174367393147,2,true,trad,uniform
3,2,7,-3.8484009410914393,-2.5624392086505,2,true,trad,uniform
3,2,8,-4.232463247798704,-3.2767624656043766,2,true,trad,uniform
3,2,9,-5.887707218693599,-3.7051614149319816,2,true,trad,uniform
3,2,10,-5.480867612244662,-3.9108521292806127,2,true,trad,uniform
3,2,11,-2.381730224156592,-3.1530590623800205,1,false,trad,uniform
3,2,12,-1.477782235631154,-3.075083161671504,1,false,trad,uniform
3,2,13,-2.5835225705809184,-2.3518068936999015,2,true,trad,uniform
3,2,14,-1.9691617212674812,-3.7262364626990534,1,false,trad,uniform
3,2,15,-3.0000095121457413,-2.2587903336374713,2,true,trad,uniform
3,2,16,-5.19255293555539,-3.287837136124294,2,true,trad,uniform
3,2,17,-8.463740889785669,-5.434623339927442,2,true,trad,uniform
3,2,18,-5.584821026652732,-3.638049317411583,2,true,trad,uniform
3,2,19,-6.687851089018306,-4.116614182678312,2,true,trad,uniform
3,2,20,-4.980586840741866,-3.1331657653725413,2,true,trad,uniform
3,2,21,-2.221409538253085,-2.459547898182562,1,false,trad,uniform
3,2,22,-1.3049819305639518,-2.7609091655690374,1,false,trad,uniform
3,2,23,-2.2055937072330765,-2.7512183785803086,1,false,trad,uniform
3,2,24,-1.8136241916817264,-2.563771752821191,1,false,trad,uniform
3,2,25,-2.028684860643067,-2.4212781112566684,1,false,trad,uniform
3,2,26,-8.430736659400138,-3.6203210843425677,2,true,trad,uniform
3,2,27,-8.692139370380932,-3.7060018715007366,2,true,trad,uniform
3,2,28,-7.589856640459127,-3.263352657611386,2,true,trad,uniform
3,2,29,-8.117327477009225,-3.4422726641907198,2,true,trad,uniform
3,2,30,-8.075308135890777,-3.359169328015373,2,true,trad,uniform
3,2,31,-2.1865067659779243,-2.6871839940259084,1,false,trad,uniform
3,2,32,-2.8674783808354474,-3.05584661865564,1,false,trad,uniform
3,2,33,-2.470814320074302,-2.955988785470754,1,false,trad,uniform
3,2,34,-1.6125682484093005,-2.62484204525802,1,false,trad,uniform
3,2,35,-2.402366086033652,-2.844508411241663,1,false,trad,uniform
3,2,36,-1.8492432932947915,-2.586456744909576,1,false,trad,uniform
3,2,37,-2.1279368057554207,-2.598608158949485,1,false,trad,uniform
3,2,38,-2.2612643250658193,-2.941473958778503,1,false,trad,uniform
3,2,39,-2.618093025306802,-2.9081683974009027,1,false,trad,uniform
3,2,40,-2.4769984963289273,-3.0207781388958432,1,false,trad,uniform
3,2,41,-1.6739975486244265,-2.6132359705574757,1,false,trad,uniform
3,2,42,-1.798903330645928,-2.567955169374703,1,false,trad,uniform
3,2,43,-1.787953438538405,-2.5144837090147956,1,false,trad,uniform
3,2,44,-1.9707652717852173,-2.4882934613772267,1,false,trad,uniform
3,2,45,-1.570676944916281,-2.680538801313707,1,false,trad,uniform
3,2,46,-1.3184793335273253,-2.7284235624696955,1,false,trad,uniform
3,2,47,-1.4922552545328578,-2.615837958390213,1,false,trad,uniform
3,2,48,-1.2872670123238406,-3.0585976116809297,1,false,trad,uniform
3,2,49,-1.487040915089414,-2.7264874370098418,1,false,trad,uniform
3,2,50,-1.3921380994057868,-2.3831682773201273,1,false,trad,uniform
4,1,1,-1.7070004336808124,-1.724113825310574,1,true,trad,uniform
4,1,2,-1.8749900476538028,-1.5938755441582204,2,false,trad,uniform
4,1,3,-2.3529354513931935,-2.503234636133332,1,true,trad,uniform
4,1,4,-2.4217949866390787,-2.81783471255199,1,true,trad,uniform
4,1,5,-1.6673559127380002,-1.6461580558014568,2,false,trad,uniform
4,1,6,-2.2438264634147393,-2.6636703384272025,1,true,trad,uniform
4,1,7,-2.3619431181608874,-2.3315478168686297,2,false,trad,uniform
4,1,8,-2.2089122076043965,-2.18490165396081,2,false,trad,uniform
4,1,9,-2.3922391273531995,-3.1597067482351564,1,true,trad,uniform
4,1,10,-2.9074504372061383,-2.598053670394845,2,false,trad,uniform
4,1,11,-1.7378582839976446,-2.3738555277350724,1,true,trad,uniform
4,1,12,-2.697994667094761,-2.633625471410006,2,false,trad,uniform
4,1,13,-2.0579280686255403,-3.0290352530039613,1,true,trad,uniform
4,1,14,-2.2975251839082964,-2.794651738235486,1,true,trad,uniform
4,1,15,-2.123130060526673,-1.802350410635343,2,false,trad,uniform
4,1,16,-2.3879756417222375,-4.042198300020171,1,true,trad,uniform
4,1,17,-2.7417920047720115,-4.413920494498149,1,true,trad,uniform
4,1,18,-2.2694554544689116,-3.8453187191787155,1,true,trad,uniform
4,1,19,-1.5980179447517118,-2.5704371959802716,1,true,trad,uniform
4,1,20,-2.7110328197543994,-4.4287477624644165,1,true,trad,uniform
4,1,21,-2.1595676124082126,-3.321896396735593,1,true,trad,uniform
4,1,22,-2.882402057501343,-2.5892727907228306,2,false,trad,uniform
4,1,23,-2.9482508368587097,-3.9518032596506125,1,true,trad,uniform
4,1,24,-1.872207934471312,-3.0607378963597136,1,true,trad,uniform
4,1,25,-2.602601964764967,-3.5248952730039234,1,true,trad,uniform
4,1,26,-4.475960355462456,-4.538513377523361,1,true,trad,uniform
4,1,27,-4.030777419605474,-2.6870185229434664,2,false,trad,uniform
4,1,28,-5.069262311828394,-3.0027578397508727,2,false,trad,uniform
4,1,29,-3.8147515103828344,-2.516773155467528,2,false,trad,uniform
4,1,30,-3.564825903485615,-4.254209520744347,1,true,trad,uniform
4,1,31,-4.426527930242695,-4.201626539738693,2,false,trad,uniform
4,1,32,-4.576299219584267,-5.782634090932947,1,true,trad,uniform
4,1,33,-5.033023860980533,-5.162855256835385,1,true,trad,uniform
4,1,34,-4.40452946986712,-3.8034016819632783,2,false,trad,uniform
4,1,35,-3.836057865682818,-4.729957816971018,1,true,trad,uniform
4,1,36,-2.2476690902350125,-3.8564366579560465,1,true,trad,uniform
4,1,37,-2.3197359218801887,-3.9409374840335705,1,true,trad,uniform
4,1,38,-2.6298554923444564,-4.27414186467813,1,true,trad,uniform
4,1,39,-2.4536077284880733,-4.013838215402201,1,true,trad,uniform
4,1,40,-3.0163949349086856,-4.709590182676139,1,true,trad,uniform
4,1,41,-3.3719667498113743,-2.763877550393569,2,false,trad,uniform
4,1,42,-3.1361006279370423,-2.7008036686366372,2,false,trad,uniform
4,1,43,-3.6415204299677377,-2.978187420227819,2,false,trad,uniform
4,1,44,-3.698513554585527,-2.5263306295302375,2,false,trad,uniform
4,1,45,-4.380635152348983,-2.5902463221626664,2,false,trad,uniform
4,1,46,-1.8195535943499634,-3.088533916680682,1,true,trad,uniform
4,1,47,-1.5468842473537951,-2.546156273062037,1,true,trad,uniform
4,1,48,-1.6555278520715357,-2.8141369065540025,1,true,trad,uniform
4,1,49,-1.5870259766718668,-2.6411613874216573,1,true,trad,uniform
4,1,50,-1.3853635486855982,-2.0426761304973664,1,true,trad,uniform
4,2,1,-2.4610470208432194,-2.432800434093661,2,true,trad,uniform
4,2,2,-1.7346823751124234,-1.4680200069299474,2,true,trad,uniform
4,2,3,-2.0778100738207397,-2.238815796863491,1,false,trad,uniform
4,2,4,-1.5717936973169595,-1.80321809471282,1,false,trad,uniform
4,2,5,-1.348180551193774,-1.6674186538544373,1,false,trad,uniform
4,2,6,-10.012269765227943,-7.182996810056728,2,true,trad,uniform
4,2,7,-9.867604461211082,-8.712166359006543,2,true,trad,uniform
4,2,8,-7.884096540411697,-6.037805030640455,2,true,trad,uniform
4,2,9,-9.91906668120137,-8.53764004939079,2,true,trad,uniform
4,2,10,-10.378642072068052,-8.39484227430104,2,true,trad,uniform
4,2,11,-4.419232192913196,-4.201746547159941,2,true,trad,uniform
4,2,12,-4.65691624497242,-4.169777716204333,2,true,trad,uniform
4,2,13,-4.2630691300800745,-3.8525492552239866,2,true,trad,uniform
4,2,14,-4.537847798394475,-3.8059379189962357,2,true,trad,uniform
4,2,15,-4.178534641472722,-4.235609200259678,1,false,trad,uniform
4,2,16,-4.153975730005329,-4.516621739717413,1,false,trad,uniform
4,2,17,-6.03444999323437,-4.179554321943351,2,true,trad,uniform
4,2,18,-3.99277626097742,-4.781749798275429,1,false,trad,uniform
4,2,19,-3.19089175844072,-3.4161664622320753,1,false,trad,uniform
4,2,20,-6.528922388047661,-4.594731031054486,2,true,trad,uniform
4,2,21,-2.72219450159659,-2.9530386187095425,1,false,trad,uniform
4,2,22,-1.6952265557750816,-2.0660568355596185,1,false,trad,uniform
4,2,23,-2.1700841973983507,-2.1287785554907437,2,true,trad,uniform
4,2,24,-1.9862109725442947,-2.1913295665493218,1,false,trad,uniform
4,2,25,-1.9492513289873319,-2.592481957905603,1,false,trad,uniform
4,2,26,-3.6303618591112032,-3.44274885783881,2,true,trad,uniform
4,2,27,-3.2324362971243707,-3.010567867008245,2,true,trad,uniform
4,2,28,-5.204457448258999,-4.059613041036242,2,true,trad,uniform
4,2,29,-5.59770088591138,-3.6890329867626246,2,true,trad,uniform
4,2,30,-7.590541220751623,-3.609654273746306,2,true,trad,uniform
4,2,31,-4.330546995100515,-5.533881944126987,1,false,trad,uniform
4,2,32,-2.069044574693432,-3.5395035782903834,1,false,trad,uniform
4,2,33,-3.1330109460139486,-4.655539038438713,1,false,trad,uniform
4,2,34,-5.317168228952423,-6.110410176888863,1,false,trad,uniform
4,2,35,-2.577389042387429,-3.8810401283144103,1,false,trad,uniform
4,2,36,-1.5239306232277465,-1.7296578962910942,1,false,trad,uniform
